policy,replication,readmission_rate,absolute_reduction,intervention_count
risk_only,91,0.11017897091722595,0.012304250559284122,1073
network_only,91,0.12099179716629381,0.0014914243102162605,1073
risk_network,91,0.11195003728560776,0.010533184190902309,1073
random,92,0.1215510812826249,0.002143922445935878,1073
feature_only,92,0.11101789709172259,0.012677106636838187,1073
risk_only,92,0.11101789709172259,0.012677106636838187,1073
network_only,92,0.12173750932140194,0.0019574944071588385,1073
risk_network,92,0.11325503355704698,0.010439970171513796,1073
random,93,0.11707680835197613,0.0031692766592095467,1073
feature_only,93,0.10775540641312453,0.012490678598061147,1073
risk_only,93,0.10775540641312453,0.012490678598061147,1073
network_only,93,0.11884787472035795,0.0013982102908277338,1073
risk_network,93,0.1081282624906786,0.012117822520507082,1073
random,94,0.12360178970917227,0.0028896346010439944,1073
feature_only,94,0.11446681580909769,0.01202460850111857,1073
risk_only,94,0.11446681580909769,0.01202460850111857,1073
network_only,94,0.12490678598061149,0.0015846383296047734,1073
risk_network,94,0.1156785980611484,0.010812826249067861,1073
random,95,0.12378821774794929,0.002516778523489943,1073
feature_only,95,0.11446681580909769,0.011838180462341544,1073
risk_only,95,0.11446681580909769,0.011838180462341544,1073
network_only,95,0.12518642803877703,0.0011185682326622093,1073
risk_network,95,0.11670395227442207,0.009601043997017167,1073
random,96,0.11726323639075317,0.002237136465324377,1073
feature_only,96,0.10803504847129008,0.011465324384787465,1073
risk_only,96,0.10803504847129008,0.011465324384787465,1073
network_only,96,0.11810216256524982,0.0013982102908277338,1073
risk_network,96,0.10952647278150635,0.009973900074571204,1073
random,97,0.12360178970917227,0.002237136465324391,1073
feature_only,97,0.11465324384787472,0.01118568232662194,1073
risk_only,97,0.11465324384787472,0.01118568232662194,1073
network_only,97,0.12425428784489187,0.0015846383296047872,1073
risk_network,97,0.11549217002237136,0.010346756152125297,1073
random,98,0.12425428784489187,0.002237136465324391,1073
feature_only,98,0.11344146159582401,0.013049962714392252,1073
risk_only,98,0.11344146159582401,0.013049962714392252,1073
network_only,98,0.12462714392244593,0.0018642803877703257,1073
risk_network,98,0.11502609992542878,0.011465324384787479,1073
random,99,0.1197800149142431,0.0027032065622669688,1073
feature_only,99,0.10961968680089486,0.012863534675615212,1073
risk_only,99,0.10961968680089486,0.012863534675615212,1073
network_only,99,0.12043251304996272,0.0020507084265473513,1073
risk_network,99,0.1111111111111111,0.011372110365398966,1073
