seed,replication,policy,readmission_rate,absolute_reduction,intervention_count
2026,24,random,0.12127143922445936,0.002609992542878442,1073
2026,24,risk_only,0.11101789709172259,0.012863534675615212,1073
2026,24,network_only,0.12229679343773303,0.0015846383296047734,1073
2026,24,risk_network,0.11306860551826994,0.010812826249067861,1073
2026,25,random,0.12164429530201343,0.0028896346010439944,1073
2026,25,risk_only,0.11241610738255034,0.012117822520507082,1073
2026,25,network_only,0.12313571961222967,0.0013982102908277477,1073
2026,25,risk_network,0.11428038777032065,0.01025354213273677,1073
2026,26,random,0.1215510812826249,0.0015846383296047734,1073
2026,26,risk_only,0.11269574944071588,0.010439970171513796,1073
2026,26,network_only,0.12145786726323639,0.0016778523489932862,1073
2026,26,risk_network,0.11474645786726323,0.008389261744966445,1073
2026,27,random,0.12360178970917227,0.002237136465324391,1073
2026,27,risk_only,0.11316181953765847,0.012677106636838187,1073
2026,27,network_only,0.12369500372856078,0.002143922445935878,1073
2026,27,risk_network,0.11446681580909769,0.011372110365398966,1073
2026,28,random,0.1208985831469053,0.002609992542878442,1073
2026,28,risk_only,0.11073825503355705,0.012770320656226686,1073
2026,28,network_only,0.12145786726323639,0.0020507084265473513,1073
2026,28,risk_network,0.11306860551826994,0.010439970171513796,1073
2026,29,random,0.12453392990305742,0.0017710663683818129,1073
2026,29,risk_only,0.11288217747949292,0.013422818791946317,1073
2026,29,network_only,0.12527964205816555,0.0010253542132736826,1073
2026,29,risk_network,0.11502609992542878,0.011278896346010453,1073
777,0,random,0.12052572706935123,0.002609992542878442,1073
777,0,risk_only,0.10999254287844892,0.013143176733780751,1073
777,0,network_only,0.12145786726323639,0.0016778523489932862,1073
777,0,risk_network,0.11176360924683072,0.011372110365398952,1073
777,1,random,0.12444071588366891,0.0020507084265473513,1073
777,1,risk_only,0.11390753169276659,0.012583892617449674,1073
777,1,network_only,0.12453392990305742,0.0019574944071588385,1073
777,1,risk_network,0.11539895600298285,0.011092468307233413,1073
777,2,random,0.12136465324384788,0.0028896346010439944,1073
777,2,risk_only,0.11316181953765847,0.0110924683072334,1073
777,2,network_only,0.12201715137956749,0.002237136465324377,1073
777,2,risk_network,0.11390753169276659,0.010346756152125283,1073
777,3,random,0.12108501118568232,0.0027964205816554816,1073
777,3,risk_only,0.11176360924683072,0.012117822520507082,1073
777,3,network_only,0.12257643549589858,0.001304996271439221,1073
777,3,risk_network,0.11241610738255034,0.011465324384787465,1073
777,4,random,0.11987322893363161,0.002516778523489943,1073
777,4,risk_only,0.10980611483967188,0.012583892617449674,1073
777,4,network_only,0.12033929903057419,0.002050708426547365,1073
777,4,risk_network,0.1111111111111111,0.011278896346010453,1073
777,5,random,0.12490678598061149,0.0023303504847129036,1073
777,5,risk_only,0.11446681580909769,0.0127703206562267,1073
777,5,network_only,0.12509321401938853,0.002143922445935864,1073
777,5,risk_network,0.11605145413870246,0.011185682326621926,1073
777,6,random,0.12061894108873975,0.002143922445935864,1073
