policy,replication,n_patients,intervention_count,readmissions,readmission_rate,mean_transition_probability,no_intervention_readmissions,no_intervention_rate,prevented_vs_no_intervention,absolute_reduction,relative_reduction,intervention_efficiency
no_intervention,45,10728,0,1358,0.12658463832960476,0.12342287122431879,1358,0.12658463832960476,0,0.0,0.0,
random,45,10728,1073,1325,0.12350857568978374,0.12087562258595339,1358,0.12658463832960476,33,0.00307606263982102,0.024300441826214953,0.03075489282385834
risk_based,45,10728,1073,1210,0.1127889634601044,0.11077668193383391,1358,0.12658463832960476,148,0.013795674869500354,0.10898379970544905,0.13793103448275862
network_informed,45,10728,1073,1225,0.11418717375093214,0.11241783754658474,1358,0.12658463832960476,133,0.01239746457867262,0.09793814432989682,0.1239515377446412
no_intervention,46,10728,0,1332,0.12416107382550336,0.12342287122431879,1332,0.12416107382550336,0,0.0,0.0,
random,46,10728,1073,1308,0.12192393736017897,0.12113454486194046,1332,0.12416107382550336,24,0.002237136465324391,0.018018018018018066,0.022367194780987885
risk_based,46,10728,1073,1204,0.1122296793437733,0.11077668193383391,1332,0.12416107382550336,128,0.011931394481730057,0.09609609609609614,0.11929170549860205
network_informed,46,10728,1073,1218,0.11353467561521252,0.11241783754658474,1332,0.12416107382550336,114,0.010626398210290836,0.08558558558558564,0.10624417520969245
no_intervention,47,10728,0,1309,0.12201715137956749,0.12342287122431879,1309,0.12201715137956749,0,0.0,0.0,
random,47,10728,1073,1278,0.11912751677852348,0.12093697157707699,1309,0.12201715137956749,31,0.0028896346010440083,0.02368220015278848,0.028890959925442685
